"","taxon.name"
"1","seq37"
"2","seq83"
"3","seq90"
"4","seq15"
"5","seq7"
"6","seq81"
"7","seq56"
"8","seq13"
"9","seq18"
"10","seq47"
"11","seq91"
"12","seq59"
"13","seq32"
"14","seq24"
"15","seq8"
"16","seq28"
"17","seq48"
"18","seq88"
"19","seq4"
"20","seq14"
"21","seq69"
"22","seq93"
"23","seq34"
"24","seq16"
"25","seq58"
"26","seq89"
"27","seq51"
"28","seq40"
"29","seq77"
"30","seq70"
"31","seq82"
"32","seq85"
"33","seq25"
"34","seq45"
"35","seq61"
"36","seq72"
"37","seq76"
"38","seq17"
"39","seq62"
"40","seq79"
"41","seq21"
"42","seq66"
"43","seq38"
"44","seq75"
"45","seq84"
"46","seq49"
"47","seq30"
"48","seq35"
"49","seq50"
"50","seq55"
"51","seq57"
"52","seq86"
"53","seq44"
"54","seq54"
"55","seq9"
"56","seq31"
"57","seq46"
"58","seq12"
"59","seq74"
"60","seq52"
"61","seq36"
"62","seq26"
"63","seq67"
"64","seq53"
"65","seq6"
"66","seq71"
"67","seq11"
"68","seq87"
"69","seq43"
"70","seq94"
"71","seq1"
"72","seq27"
"73","seq73"
"74","seq3"
"75","seq63"
"76","seq29"
"77","seq5"
"78","seq2"
"79","seq20"
"80","seq33"
"81","seq60"
"82","seq78"
"83","seq42"
"84","seq22"
"85","seq19"
"86","seq41"
"87","seq65"
"88","seq64"
"89","seq23"
"90","seq39"
"91","seq10"
"92","seq68"
"93","seq92"
"94","seq80"
